,,,,,,,,,,,,,,,,,,,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,"Математика (Практические)
Лёвшина Г. Д.",Г-327,"Математика (Практические)
Лёвшина Г. Д.",Г-327,"Математика (Практические)
Шелепова Е. В.",Л-509,"Математика (Практические)
Шелепова Е. В.",Л-509,,,,,"Введение в специальность (Практические)
",А-522,"Введение в специальность (Практические)
",А-522,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,,,,,"Математика (Практические)
Ногинова Л. Ю.",Л-634,"Математика (Практические)
Ногинова Л. Ю.",Л-634,,,,,,,,,,,,,"Введение в специальность (Практические)
Куликовский М. А.",А-319,"Введение в специальность (Практические)
Куликовский М. А.",А-319,,,,,"Введение в специальность (Практические)
Леонтьева Д. С.",Л-531,"Введение в специальность (Практические)
Леонтьева Д. С.",Л-531
,5,16:20:00 - 17:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"История России (Практические)
Вакансия 4 К. .",К-525,"История России (Практические)
Вакансия 4 К. .",К-525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"История России (Практические)
Вакансия 7 К. .",А-522,"История России (Практические)
Вакансия 7 К. .",А-522,,,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,18:00:00 - 19:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,19:35:00 - 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пятница,1,09:00:00 - 10:35:00,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-526,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-526,"Математика (Практические)
Акимова Е. А.",А-517,"Математика (Практические)
Акимова Е. А.",А-517,,,,,,,,,,,,,"Математика (Практические)
Вакансия 8 К. .",А-510,"Математика (Практические)
Вакансия 8 К. .",А-510,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-538,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-538,"История России (Лекционные)
Вакансия 5 К. .",Л-556,"История России (Лекционные)
Вакансия 5 К. .",Л-556,"История России (Лекционные)
Вакансия 5 К. .",Л-556,"История России (Лекционные)
Вакансия 5 К. .",Л-556,"История России (Лекционные)
Вакансия 5 К. .",Л-556,"История России (Лекционные)
Вакансия 5 К. .",Л-556,"История России (Лекционные)
Вакансия 5 К. .",Л-556,"История России (Лекционные)
Вакансия 5 К. .",Л-556,,,,,,,,,"Математика (Практические)
Вакансия 5 К. .",Л-631,"Математика (Практические)
Вакансия 5 К. .",Л-631,"Математика (Практические)
Вакансия 5 К. .",Л-633,"Математика (Практические)
Вакансия 5 К. .",Л-633,,,,,,,,,,,,,"Математика (Практические)
Сметюхова А. В.",А-512,"Математика (Практические)
Сметюхова А. В.",А-512,,,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-805-УВЦ, Б-806-УВЦ, ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-806-УВЦ, Б-805-УВЦ",,,,,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-509,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523
,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-526,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-526,"Математика (Практические)
Акимова Е. А.",А-511,"Математика (Практические)
Акимова Е. А.",А-511,,,,,,,,,,,,,"Математика (Практические)
Вакансия 8 К. .",А-510,"Математика (Практические)
Вакансия 8 К. .",А-510,,,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-948,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-948,,,,,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-556,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-556,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-556,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-556,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-556,"Программирование и алгоритмизация (Лекционные)
Андреева О. В.",Л-556,,,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.","Б-819-УВЦ, Б-825-УВЦ","2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.","Б-819-УВЦ, Б-825-УВЦ","Математика (Практические)
Вакансия 5 К. .",Л-631,"Математика (Практические)
Вакансия 5 К. .",Л-631,"Математика (Практические)
Вакансия 5 К. .",Л-613,"Математика (Практические)
Вакансия 5 К. .",Л-613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-806-УВЦ, Б-805-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-806-УВЦ, Б-805-УВЦ","Математика (Практические)
Вакансия 9 К. .",А-522,"Математика (Практические)
Вакансия 9 К. .",А-522,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 8 К. .",А-524,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-509,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523
,2,10:50:00 - 12:25:00,"Математика (Практические)
Акимова Е. А.",А-517,"Математика (Практические)
Акимова Е. А.",А-517,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,,,,,,,,,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-526,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-526,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.","Л-542, ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-542,"Математика (Практические)
Сметюхова А. В.",А-511,"Математика (Практические)
Сметюхова А. В.",А-511,"Вычислительные машины, сети и системы (Лекционные)
",Б-3,"Вычислительные машины, сети и системы (Лекционные)
",Б-3,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-527,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-527,"Математика (Практические)
Вакансия 3 К. .",А-524,"Математика (Практические)
Вакансия 3 К. .",А-524,"Математика (Практические)
Вакансия 5 К. .",А-512,"Математика (Практические)
Вакансия 5 К. .",А-512,,,,,,,,,"История России (Практические)
Вакансия 5 К. .",К-511,"История России (Практические)
Вакансия 5 К. .",К-511,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.",Б-317,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.",Б-317,,,,,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Математика (Практические)
Вакансия 9 К. .",А-507,"Математика (Практические)
Вакансия 9 К. .",А-507,,,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"Математика (Практические)
Вакансия 9 К. .",Л-609,"Математика (Практические)
Вакансия 9 К. .",Л-609,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734
,,,"Математика (Практические)
Акимова Е. А.",А-517,"Математика (Практические)
Акимова Е. А.",А-517,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Парфенова Е. В.",Л-538,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Стучилин В. В.",Л-538,,,,,"Математика (Практические)
Чикалова А. В.",Л-613,"Математика (Практические)
Чикалова А. В.",Л-613,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-526,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-526,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-542,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.",Л-542,"Математика (Практические)
Сметюхова А. В.",А-511,"Математика (Практические)
Сметюхова А. В.",А-511,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-527,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-527,"История России (Практические)
Вакансия 5 К. .",К-522,"История России (Практические)
Вакансия 5 К. .",К-522,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-821-УВЦ, Б-823-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-821-УВЦ","Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,"Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,"Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,"Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,"Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,"Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,"Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,"Основы российской государственности (Лекционные)
Вакансия 2 К. .",Л-746,,,,,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,,,,,,,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,,,,,,,"Математика (Практические)
Вакансия 9 К. .",А-507,"Математика (Практические)
Вакансия 9 К. .",А-507,,,,,"Введение в специальность (Практические)
Гостева Ю. В.",Б-1107,"Введение в специальность (Практические)
Гостева Ю. В.",Б-1107,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734,"Программирование и алгоритмизация (Лекционные)
Кружкова Г. В.",Б-734
,3,12:40:00 - 14:15:00,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-512,"История России (Практические)
Вакансия 5 К. .",К-524,"История России (Практические)
Вакансия 5 К. .",К-524,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.",Л-948,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.",Л-948,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Микитенко И. И.",Л-746,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Основы российской государственности (Лекционные)
Вакансия 3 К. .",А-308,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Вычислительные машины, сети и системы (Лекционные)
",К-311,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-531,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-531,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-520,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-520,"Математика (Практические)
Вакансия 9 К. .",А-507,"Математика (Практические)
Вакансия 9 К. .",А-507
,,,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Вычислительные машины, сети и системы (Лекционные)
",Л-740,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Лекционные)
Вакансия 1 К. .",Л-746,"Введение в специальность (Практические)
",А-304,"Введение в специальность (Практические)
",А-304,,,,,,,,,,,,,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Математика (Практические)
Плужникова Е. Л.",А-512,"Математика (Практические)
Плужникова Е. Л.",А-512,"Основы российской государственности (Практические)
Вакансия 8 К. .",К-421,"Основы российской государственности (Практические)
Вакансия 8 К. .",К-421,"1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-821-УВЦ, Б-823-УВЦ","1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-821-УВЦ, Б-823-УВЦ","Введение в специальность (Практические)
Исаева М. В.",Б-902,"Введение в специальность (Практические)
Исаева М. В.",Б-902,"История России (Практические)
Аристов А. В.",А-522,"История России (Практические)
Аристов А. В.",А-522,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Вычислительные машины, сети и системы (Лекционные)
",Б-734,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-519,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-519,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-510
,4,14:30:00 - 16:05:00,,,,,"Введение в специальность (Практические)
",А-304,"Введение в специальность (Практические)
",А-304,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-510,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-510,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-511,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-511,,,,,,,,,"История России (Практические)
Вакансия 5 К. .",А-524,"История России (Практические)
Вакансия 5 К. .",А-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,,,,,,,,,,,,,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Введение в специальность (Лекционные)
Вакансия 1 К. .",А-308,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,,,,,,,,,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-522,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-522,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-509,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-510,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-510,,,,,,,,,,,,,,,,,"Вычислительные машины, сети и системы (Лекционные)
",Б-3,"Вычислительные машины, сети и системы (Лекционные)
",Б-3,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ",,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-523,,,,,,,,,,,,,"История России (Практические)
Песьяков С. А.",А-512,"История России (Практические)
Песьяков С. А.",А-512,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,"Вычислительные машины, сети и системы (Лекционные)
Крынецкая Г. С.",Б-3,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,,,,,,,,,,,,,,,,,,,,,,,,
,5,16:20:00 - 17:55:00,,,,,,,,,,,,,,,,,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.","Б-823-УВЦ, Б-825-УВЦ","1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.","Б-823-УВЦ, Б-825-УВЦ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-819-УВЦ, Б-821-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-819-УВЦ, Б-821-УВЦ",,,,,,,,,,,,,,,,,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Введение в специальность (Практические)
",А-524,"Введение в специальность (Практические)
",А-524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ",,,,,,,,,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.","Б-805-УВЦ, Б-804-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Мурадханов С. Э.","Б-805-УВЦ, Б-804-УВЦ",,,,,,,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,18:00:00 - 19:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,19:35:00 - 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
